
   t+137.6min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+149.2min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+167.5min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+179.1min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+197.3min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   charge stops: [(3, 1.5), (5, 6.7), (7, 6.7), (9, 6.7), (11, 6.7), (13, 6.7)]

AT-08 [4seat] — 13 legs, 644.8 km, 52 pax carried
   t+  0.0min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 81.3%)
   t+ 11.6min   IKA -> TAJ  ( 50.8 km, 4 pax, SoC after: 54.5%)
   t+ 26.1min   TAJ -> IKA  ( 50.8 km, 4 pax, SoC after: 27.7%)
   t+ 40.5min   IKA -> TAJ  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+ 57.5min   TAJ -> IKA  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+ 76.7min   IKA -> TAJ  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+ 96.0min   TAJ -> IKA  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+115.3min   IKA -> TAJ  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+134.5min   TAJ -> IKA  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+153.8min   IKA -> TAJ  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+173.1min   TAJ -> IKA  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+192.3min   IKA -> TAJ  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+211.6min   TAJ -> IKA  ( 50.8 km, 4 pax, SoC after: 15.0%)
   charge stops: [(3, 2.5), (4, 4.8), (5, 4.8), (6, 4.8), (7, 4.8), (8, 4.8), (9, 4.8), (10, 4.8), (11, 4.8), (12, 4.8)]

AT-09 [4seat] — 11 legs, 154.3 km, 44 pax carried
   t+  0.0min   THR -> CHT  ( 14.0 km, 4 pax, SoC after: 92.6%)
   t+  7.6min   CHT -> THR  ( 14.0 km, 4 pax, SoC after: 85.2%)
   t+ 15.2min   THR -> CHT  ( 14.0 km, 4 pax, SoC after: 77.8%)
   t+ 22.8min   CHT -> THR  ( 14.0 km, 4 pax, SoC after: 70.4%)
   t+ 30.5min   THR -> CHT  ( 14.0 km, 4 pax, SoC after: 63.0%)
   t+ 38.1min   CHT -> THR  ( 14.0 km, 4 pax, SoC after: 55.6%)
   t+ 45.7min   THR -> CHT  ( 14.0 km, 4 pax, SoC after: 48.1%)
   t+ 53.3min   CHT -> THR  ( 14.0 km, 4 pax, SoC after: 40.7%)
   t+ 60.9min   THR -> CHT  ( 14.0 km, 4 pax, SoC after: 33.3%)
   t+ 68.5min   CHT -> THR  ( 14.0 km, 4 pax, SoC after: 25.9%)
   t+ 76.1min   THR -> CHT  ( 14.0 km, 4 pax, SoC after: 18.5%)

AT-10 [4seat] — 6 legs, 128.3 km, 24 pax carried
   t+  0.0min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 81.3%)
   t+ 11.6min   THR -> CHT  ( 14.0 km, 4 pax, SoC after: 73.9%)
   t+ 19.2min   CHT -> THR  ( 14.0 km, 4 pax, SoC after: 66.5%)
   t+ 26.8min   THR -> CHT  ( 14.0 km, 4 pax, SoC after: 59.1%)
   t+ 34.4min   CHT -> THR  ( 14.0 km, 4 pax, SoC after: 51.7%)
   t+ 42.1min   THR -> KRJ  ( 36.8 km, 4 pax, SoC after: 32.3%)

AT-11 [4seat] — 5 legs, 196.4 km, 20 pax carried
   t+  0.0min   KRJ -> IKA  ( 50.7 km, 4 pax, SoC after: 73.2%)
   t+ 14.4min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 73.2%)
   t+ 29.4min   THR -> KRJ  ( 36.8 km, 4 pax, SoC after: 53.8%)
   t+ 41.3min   KRJ -> THR  ( 36.8 km, 4 pax, SoC after: 34.4%)
   t+ 53.2min   THR -> KRJ  ( 36.8 km, 4 pax, SoC after: 15.0%)
   charge stops: [(1, 3.4)]

AT-12 [4seat] — 4 legs, 147.1 km, 16 pax carried
