
   t+106.3min   IKA -> TAJ  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+125.5min   TAJ -> IKA  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+144.8min   IKA -> TAJ  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+164.1min   TAJ -> IKA  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+183.3min   IKA -> TAJ  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+202.6min   TAJ -> IKA  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+221.9min   IKA -> THR  ( 35.4 km, 0 pax, SoC after: 15.0%)
   mid-cycle charge stops: [(5, 2.6), (6, 4.8), (7, 4.8), (8, 4.8), (9, 4.8), (10, 4.8), (11, 4.8), (12, 4.8), (13, 4.8), (14, 3.4)]

AT-08 [4seat] — 14 legs, 580.1 km, 52 pax carried  [closed-loop, NOT SoC-periodic]
   t+  0.0min   CHT -> THR  ( 14.0 km, 4 pax, SoC after: 92.6%)
   t+  7.6min   THR -> CHT  ( 14.0 km, 4 pax, SoC after: 85.2%)
   t+ 15.2min   CHT -> TAJ  ( 22.1 km, 4 pax, SoC after: 73.5%)
   t+ 24.4min   TAJ -> IKA  ( 50.8 km, 4 pax, SoC after: 46.7%)
   t+ 38.8min   IKA -> TAJ  ( 50.8 km, 4 pax, SoC after: 19.9%)
   t+ 53.3min   TAJ -> IKA  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+ 71.6min   IKA -> TAJ  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+ 90.9min   TAJ -> IKA  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+110.2min   IKA -> TAJ  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+129.4min   TAJ -> IKA  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+148.7min   IKA -> TAJ  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+168.0min   TAJ -> IKA  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+187.2min   IKA -> TAJ  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+206.5min   TAJ -> CHT  ( 22.1 km, 0 pax, SoC after: 15.0%)
   mid-cycle charge stops: [(5, 3.9), (6, 4.8), (7, 4.8), (8, 4.8), (9, 4.8), (10, 4.8), (11, 4.8), (12, 4.8), (13, 2.1)]

AT-09 [4seat] — 13 legs, 634.4 km, 48 pax carried  [closed-loop, NOT SoC-periodic]
   t+  0.0min   QZV -> KRJ  ( 92.7 km, 4 pax, SoC after: 51.0%)
   t+ 22.3min   KRJ -> IKA  ( 50.7 km, 4 pax, SoC after: 24.3%)
   t+ 36.7min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+ 53.4min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+ 65.0min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+ 83.3min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+ 94.9min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+113.2min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+124.8min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+143.1min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+154.7min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+173.0min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+184.6min   IKA -> QZV  (137.0 km, 0 pax, SoC after: 15.0%)
   mid-cycle charge stops: [(2, 5.1), (4, 6.7), (6, 6.7), (8, 6.7), (10, 6.7), (12, 13.0)]

AT-10 [4seat] — 9 legs, 157.8 km, 32 pax carried  [closed-loop, NOT SoC-periodic]
   t+  0.0min   KRJ -> THR  ( 36.8 km, 4 pax, SoC after: 80.6%)
   t+ 11.9min   THR -> CHT  ( 14.0 km, 4 pax, SoC after: 73.2%)
   t+ 19.5min   CHT -> THR  ( 14.0 km, 4 pax, SoC after: 65.8%)
   t+ 27.1min   THR -> CHT  ( 14.0 km, 4 pax, SoC after: 58.4%)
   t+ 34.7min   CHT -> THR  ( 14.0 km, 4 pax, SoC after: 50.9%)
   t+ 42.3min   THR -> CHT  ( 14.0 km, 4 pax, SoC after: 43.5%)
   t+ 49.9min   CHT -> THR  ( 14.0 km, 4 pax, SoC after: 36.1%)
   t+ 57.5min   THR -> CHT  ( 14.0 km, 4 pax, SoC after: 28.7%)
   t+ 65.2min   CHT -> KRJ  ( 22.8 km, 0 pax, SoC after: 16.7%)

AT-11 [4seat] — 6 legs, 243.0 km, 20 pax carried  [closed-loop, repeats indefinitely]
   t+  0.0min   IKA -> KRJ  ( 50.7 km, 4 pax, SoC after: 73.2%)
   t+ 14.4min   KRJ -> IKA  ( 50.7 km, 4 pax, SoC after: 46.5%)
   t+ 28.9min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+ 41.6min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+ 53.2min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+ 71.5min   THR -> IKA  ( 35.4 km, 0 pax, SoC after: 15.0%)
   mid-cycle charge stops: [(2, 1.1), (4, 6.7)]
